"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 19:19:35 GMT 2024","Tue Feb 13 19:19:43 GMT 2024","7810","","tests.LoginTest","","tests.LoginTest","unsuccessfulLoginWithWrongPassword","Неуспешная авторизация с неверным паролем",""
"skipped","Tue Feb 13 19:19:25 GMT 2024","Tue Feb 13 19:19:25 GMT 2024","1","","tests.LoginTest","","tests.LoginTest","becomeTricolorClientPopup","Проверка модального окна Стать клиентом Триколора",""
"passed","Tue Feb 13 19:19:26 GMT 2024","Tue Feb 13 19:19:35 GMT 2024","9779","","tests.LoginTest","","tests.LoginTest","impossibleLoginWithoutFillInLoginAndPassword","Попытка авторизации без заполнения логина и пароля",""
